Balance Balance.1 Optimism Calm Optimism.1 Presence Accuracy calm Unity Adventure Calm.1 Calm.2
Boldness Collaboration Innovation Determination Accomplishment Respect Compassion cooperation Honesty Challenge Adventure Confidence
Challenge Confidence Curiosity Learning Challenge Curiosity Enthusiasm friendship Friendship Comradeship Creativity Curiosity
Determination Excellence Enthusiasm Optimism Confidence Unity Flexibility happiness challenge Creativity Spirituality Enthusiasm
Flexibility Fun Creativity Patience Creativity Optimism Friendship learning Helpfulness Empowerment Friendship Learning
Friendship Enthusiasm Integrity Enthusiasm Enthusiasm Integrity Joy listening Loyalty Happiness Kindness Helpfulness
Humor Generosity Forgiveness Self-Esteem Forgiveness Understanding Optimism simplicity Learning Integrity Respect Respect
Patience Optimism Environment Cooperation Growth Balance Trust groundedness Simplicity Optimism Love Thankfulness
Safety Helpfulness kindness Flexibility Love Thankfulness Safety spirituality Creativity Respect  Understanding Listening
Thankfulness  Trust Calm Orderliness Patience Flexibility Simplicity thankfullness Integrity Listening Groundedness Understanding 
